name	hardness	color	season	species
17C23-2	unknown	unknown	unknown	Triticum aestivum
5J061865-9	unknown	unknown	unknown	unknown
6J020219-3	unknown	unknown	unknown	unknown
A09408S-11_HF	unknown	unknown	unknown	unknown
A100920S-14	unknown	unknown	unknown	unknown
A101138S-1	unknown	unknown	unknown	unknown
AGS2000	Soft	Red	Winter	Triticum aestivum
AGS2020	Soft	unknown	Winter	Triticum aestivum
AGS2033	unknown	unknown	unknown	unknown
AGS2055	unknown	unknown	unknown	unknown
ALUM-PULLMAN-SWWW	unknown	unknown	unknown	unknown
ARGA051160-14LE31	unknown	unknown	unknown	unknown
ARGA06473-9-4-4	unknown	unknown	unknown	unknown
ARS-AMBER	unknown	unknown	unknown	unknown
ARS-CHRYSTAL	unknown	unknown	unknown	unknown
ARS-CRESCENT	unknown	unknown	unknown	unknown
ARS-SELBU	unknown	unknown	unknown	unknown
ARS06132-45C	unknown	unknown	unknown	unknown
ARS20060123-31C	unknown	unknown	unknown	unknown
ARS970278-2C	unknown	unknown	unknown	unknown
ARSDH08X103-102C	unknown	unknown	unknown	unknown
ARSDH08X117-83C	unknown	unknown	unknown	unknown
ARSWA2J100065C	unknown	unknown	unknown	unknown
ARTHUR	Soft	Red	Winter	Triticum aestivum
ADVANCE	unknown	unknown	unknown	Triticum aestivum
ALICE	Hard	White	Winter	Triticum aestivum
ALSEN	Hard	Red	Spring	Triticum aestivum
ALUM	unknown	unknown	unknown	Triticum aestivum
AMIDON	Hard	Red	Spring	Triticum aestivum
ANTERO	Hard	White	Winter	Triticum aestivum
APPLEBY_CLPLUS_ORI2161250CLPLUS	unknown	unknown	unknown	unknown
AVOCET	Soft	White	Winter	Triticum aestivum
BEN	unknown	unknown	unknown	Triticum aestivum
BESS	Soft	Red	Winter	Triticum aestivum
BLACKHULL	unknown	unknown	unknown	unknown
BLUEBOY	Soft	Red	Winter	Triticum aestivum
BRANSON	Soft	Red	Winter	Triticum aestivum
BREVOR	unknown	unknown	unknown	unknown
BABE	unknown	unknown	Spring	Triticum aestivum
BARLOW	unknown	unknown	Spring	Triticum aestivum
BAUERMEISTER	unknown	unknown	unknown	unknown
BILLINGS	Hard	Red	Winter	Triticum aestivum
BOBCAT	unknown	unknown	unknown	Triticum aestivum
BOBTAIL	unknown	unknown	unknown	unknown
BOLLES	Hard	Red	Spring	Triticum aestivum
BOOST	unknown	unknown	unknown	Triticum aestivum
BRAWLCLPLUS	Hard	Red	Winter	Triticum aestivum
BRICK	Hard	Red	Spring	Triticum aestivum
BRIGGS	Hard	Red	Spring	Triticum aestivum
BRUEHL	unknown	unknown	unknown	unknown
BRUNDAGE	Soft	White	Winter	Triticum aestivum
BYRD	Hard	Red	Winter	Triticum aestivum
C0940610	unknown	unknown	unknown	Triticum aestivum
CALDWELL	Soft	Red	Winter	Triticum aestivum
CALEDONIA	Soft	White	Winter	Triticum aestivum
CATAWBA	unknown	unknown	unknown	Triticum aestivum
CHOTEAU2	unknown	unknown	unknown	Triticum aestivum
CLARK	Soft	Red	Winter	Triticum aestivum
CO15D006R	unknown	unknown	unknown	Triticum aestivum
CO960293	Hard	Red	Winter	Triticum aestivum
COKER68-15	Soft	Red	Winter	Triticum aestivum
COKER9663	Soft	unknown	Winter	Triticum aestivum
CONAN	Hard	Red	Spring	Triticum aestivum
CRIMEAN	unknown	unknown	unknown	unknown
CAMELOT	Hard	Red	Winter	Triticum aestivum
CAPELLE_DESPREZ-2009	unknown	unknown	unknown	unknown
CARA	unknown	unknown	Spring	Triticum aestivum
CDDH-028	unknown	unknown	unknown	unknown
CDDH-266	unknown	unknown	unknown	unknown
CHARCOAL	unknown	unknown	unknown	unknown
CHET	unknown	unknown	unknown	unknown
CHEYENNE	Hard	Red	Winter	Triticum aestivum
CHINESE-SPRING	unknown	unknown	unknown	unknown
CHRIS	Hard	Red	Spring	Triticum aestivum
CHUKAR	unknown	unknown	Winter	Triticum
CODA	unknown	unknown	Winter	Triticum aestivum
CURIOSITYCLPLUS	unknown	unknown	unknown	unknown
DAYN-PULLMAN-SWWW	unknown	unknown	unknown	unknown
DH11SRW070-14	Soft	Red	Winter	Triticum aestivum
DSD4451	unknown	unknown	unknown	Triticum aestivum
DAGMAR	unknown	unknown	unknown	unknown
DANBY	Hard	White	Winter	Triticum aestivum
DAPPS	unknown	unknown	Spring	Triticum aestivum
DECADE	Hard	Red	Winter	Triticum aestivum
DENALI	Hard	Red	Winter	Triticum aestivum
DESERT_KING	unknown	unknown	unknown	unknown
DIVA	unknown	unknown	unknown	unknown
DOUBLECLPLUS	unknown	unknown	unknown	unknown
DUCLAIR-DSEE	unknown	unknown	unknown	unknown
DUCLAIR	Hard	Red	Spring	Triticum aestivum
DUSTER	Hard	Red	Winter	Triticum aestivum
ERNIE	Soft	Red	Winter	Triticum aestivum
ETOILE-DE-CHOISY	unknown	unknown	unknown	unknown
EARL_WA8184	unknown	unknown	unknown	unknown
EGAN	unknown	unknown	unknown	Triticum aestivum
EGAN-DSEE	unknown	unknown	unknown	unknown
ELTAN	Soft	White	Winter	Triticum aestivum
ERA	Hard	Red	Spring	Triticum aestivum
EVEREST	unknown	unknown	Winter	Triticum aestivum
EXPEDITION	Hard	Red	Winter	Triticum aestivum
FL302	Soft	unknown	Winter	Triticum aestivum
FOSTER	Soft	Red	Winter	Triticum aestivum
FREEDOM	Soft	Red	Winter	Triticum aestivum
FULTZ	Soft	Red	Winter	Triticum aestivum
FALLER	unknown	unknown	Spring	Triticum aestivum
FARNUM	unknown	unknown	unknown	unknown
FOOTE	Soft	White	Winter	Triticum aestivum
FORTUNA	Hard	Red	Spring	Triticum aestivum
FOUROSIX	unknown	unknown	unknown	Triticum aestivum
FREEMAN	Hard	Red	Winter	Triticum aestivum
G20_0026_TITANG	unknown	unknown	unknown	unknown
GA001138-8E36	Soft	unknown	Winter	Triticum aestivum
GA00190-7A14	Soft	unknown	Winter	Triticum aestivum
GA03185-12LE29	Soft	unknown	Winter	Triticum aestivum
GA05450-EL52	unknown	unknown	unknown	unknown
GA06493-13LE6	Soft	unknown	Winter	Triticum aestivum
GLACIER	Soft	Red	Winter	Triticum aestivum
GALLAGHER	Hard	Red	Winter	Triticum aestivum
GINA	unknown	unknown	unknown	unknown
GLEE	Hard	Red	Spring	Triticum aestivum
GLENN	unknown	unknown	Spring	Triticum aestivum
GLENN-DSEE	unknown	unknown	unknown	unknown
GLUPRO	unknown	unknown	unknown	Triticum aestivum
GOODSTREAK	Hard	Red	Winter	Triticum aestivum
GRANDIN	Soft	Red	Winter	Triticum aestivum
GUARD	Hard	Red	Spring	Triticum aestivum
HARDIRED	unknown	unknown	unknown	unknown
